,airport_code,year,month,ntsb_incidents,faa_incidents,ATADS_Tracon_Tower,ntsb_accidents
299,06C,2004,10,0.0,,,1.0
300,06C,2010,9,0.0,,,1.0
301,06C,2010,11,0.0,,,1.0
302,06C,2013,8,0.0,,,1.0
303,06C,2018,5,0.0,,,1.0
304,06D,1991,1,0.0,,,
305,06FA,2017,8,0.0,,,1.0
306,06FD,2015,3,0.0,,,1.0
307,06M,1996,4,0.0,,,1.0
308,06MO,1992,11,0.0,,,1.0
309,06MO,2007,7,0.0,,,1.0
310,06MO,2009,1,0.0,,,
311,06N,1990,5,0.0,,,1.0
312,06N,1991,2,0.0,,,1.0
313,06N,1992,6,0.0,,,1.0
314,06N,2006,12,0.0,,,1.0
315,06N,2009,5,0.0,,,1.0
316,06N,2012,12,0.0,,,1.0
317,06N,2014,6,0.0,,,1.0
318,06N,2018,5,0.0,,,1.0
319,06NH,2005,10,0.0,,,1.0
320,06NY,2018,1,0.0,,,
321,06R,1996,4,0.0,,,1.0
322,06R,1996,10,0.0,,,1.0
323,06R,2012,12,0.0,,,1.0
324,06U,1989,5,0.0,,,1.0
325,06U,1990,7,0.0,,,1.0
326,06U,1992,8,0.0,,,1.0
327,06U,1994,3,0.0,,,1.0
328,06U,1994,9,0.0,,,1.0
329,06U,1996,10,0.0,,,1.0
330,06U,2000,7,0.0,,,2.0
331,06U,2001,7,0.0,,,1.0
332,06U,2006,12,0.0,,,1.0
333,06U,2007,4,0.0,,,1.0
334,06U,2015,7,0.0,,,1.0
335,06U,2015,9,0.0,,,1.0
336,06WN,2012,7,0.0,,,1.0
337,070,1988,8,0.0,,,1.0
338,070,1989,5,0.0,,,2.0
339,070,1990,8,0.0,,,1.0
340,079,2002,9,0.0,,,1.0
341,07A,1991,2,0.0,,,1.0
342,07B,2010,5,0.0,,,1.0
343,07C,1988,8,0.0,,,1.0
344,07C,1989,8,0.0,,,1.0
345,07C,1990,5,0.0,,,1.0
346,07C,1995,8,0.0,,,1.0
347,07C,1997,7,0.0,,,1.0
348,07CL,2009,5,0.0,,,1.0
349,07F,1988,11,0.0,,,1.0
350,07F,2011,6,0.0,,,1.0
351,07F,2011,11,0.0,,,1.0
352,07F,2013,12,0.0,,,1.0
353,07G,1988,5,0.0,,,1.0
354,07G,1992,6,0.0,,,1.0
355,07G,1994,3,0.0,,,1.0
356,07G,1996,5,0.0,,,1.0
357,07G,1997,10,0.0,,,1.0
358,07J,1991,2,0.0,,,1.0
359,07K,2007,9,0.0,,,1.0
360,07K,2010,10,0.0,,,1.0
361,07KY,2006,6,0.0,,,1.0
362,07MD,2018,8,0.0,,,1.0
363,07R,2006,5,0.0,,,1.0
364,07S,2002,7,0.0,,,1.0
365,07S,2016,7,0.0,,,1.0
366,07S,2018,12,0.0,,,1.0
367,07TA,1992,6,0.0,,,1.0
368,07TA,2013,7,0.0,,,1.0
369,07TA,2019,12,0.0,,,1.0
370,07V,2010,1,0.0,,,
371,07VA,2019,4,0.0,,,1.0
372,085,1990,3,0.0,,,1.0
373,085,1992,6,0.0,,,1.0
374,085,1998,6,0.0,,,1.0
375,086,1988,2,0.0,,,1.0
376,086,1989,6,0.0,,,1.0
377,086,1990,8,0.0,,,1.0
378,088,1991,6,0.0,,,1.0
379,088,1991,9,0.0,,,1.0
380,089,1991,5,0.0,,,1.0
381,08A,1996,9,0.0,,,1.0
382,08A,2015,4,0.0,,,1.0
383,08A,2017,7,0.0,,,1.0
384,08AK,1992,1,0.0,,,
385,08B,1993,9,0.0,,,1.0
386,08B,1998,6,0.0,,,1.0
387,08B,2019,6,0.0,,,1.0
388,08C,1988,1,0.0,,,
389,08C,1989,12,0.0,,,1.0
390,08C,1996,10,0.0,,,1.0
391,08C,2003,6,0.0,,,1.0
392,08C,2009,8,0.0,,,1.0
393,08C,2013,2,0.0,,,1.0
394,08CL,2006,10,0.0,,,1.0
395,08D,2000,1,0.0,,,
396,08D,2009,3,0.0,,,1.0
397,08IN,2016,4,0.0,,,1.0
398,08KY,2013,7,0.0,,,1.0
399,08M,1995,8,0.0,,,1.0
400,08M,2004,5,0.0,,,1.0
401,08ME,2008,6,0.0,,,1.0
402,08N,1992,6,0.0,,,1.0
403,08N,2009,11,0.0,,,1.0
404,08N,2017,5,0.0,,,1.0
405,08V,1989,10,1.0,,,0.0
406,08VA,1993,4,0.0,,,1.0
407,08VA,2008,8,0.0,,,1.0
408,090K,1995,8,0.0,,,1.0
409,094,1990,10,0.0,,,1.0
410,094,1996,5,0.0,,,1.0
411,09A,1997,8,0.0,,,1.0
412,09C,1996,6,0.0,,,1.0
413,09C,1997,6,0.0,,,1.0
414,09CL,2004,4,0.0,,,1.0
415,09CL,2005,2,0.0,,,1.0
416,09D,1990,7,0.0,,,1.0
417,09FA,2008,6,0.0,,,1.0
418,09FA,2009,2,0.0,,,1.0
419,09FD,1997,4,0.0,,,1.0
420,09G,1990,10,0.0,,,1.0
421,09G,1993,3,0.0,,,1.0
422,09J,2000,1,0.0,,,
423,09J,2003,10,0.0,,,1.0
424,09J,2010,5,0.0,,,1.0
425,09J,2013,5,0.0,,,1.0
426,09M,2013,10,0.0,,,1.0
427,09MO,1988,8,0.0,,,1.0
428,09N,1999,10,0.0,,,1.0
429,09PA,2016,11,0.0,,,1.0
430,09R,1993,10,0.0,,,1.0
431,09S,1991,9,0.0,,,1.0
432,09S,1996,7,0.0,,,1.0
433,09S,2003,7,0.0,,,1.0
434,09S,2008,7,0.0,,,1.0
435,09S,2009,7,0.0,,,1.0
436,09S,2010,1,0.0,,,
437,09S,2012,9,0.0,,,1.0
438,09S,2013,8,0.0,,,1.0
439,09V,1990,7,0.0,,,1.0
440,09WI,1989,12,0.0,,,1.0
441,09XS,2004,5,0.0,,,1.0
442,0A1,1998,7,0.0,,,1.0
443,0A3,1992,12,0.0,,,1.0
444,0A3,1996,1,0.0,,,
445,0A3,1996,8,0.0,,,1.0
446,0A3,2011,8,0.0,,,1.0
447,0A3,2018,10,0.0,,,1.0
448,0A4,1990,4,0.0,,,1.0
449,0A5,1993,9,0.0,,,1.0
450,0A5,2001,7,0.0,,,1.0
451,0A6,1991,2,0.0,,,1.0
452,0A6,1994,11,0.0,,,1.0
453,0A7,1988,9,0.0,,,1.0
454,0A7,1989,8,0.0,,,1.0
455,0A7,1992,7,0.0,,,1.0
456,0A7,1994,5,0.0,,,1.0
457,0A7,1997,10,0.0,,,1.0
458,0A7,2003,2,0.0,,,1.0
459,0A7,2004,10,0.0,,,2.0
460,0A7,2007,10,0.0,,,1.0
461,0A7,2007,12,0.0,,,1.0
462,0A8,1994,1,0.0,,,
463,0A9,1988,3,1.0,,,0.0
464,0A9,1988,5,0.0,,,1.0
465,0A9,1993,4,0.0,,,1.0
466,0A9,1994,4,0.0,,,1.0
467,0A9,1994,11,0.0,,,1.0
468,0A9,1998,9,0.0,,,1.0
469,0A9,2007,9,0.0,,,1.0
470,0A9,2011,10,0.0,,,1.0
471,0A9,2014,3,0.0,,,1.0
472,0A9,2019,8,0.0,,,1.0
473,0AA7,2018,5,0.0,,,1.0
474,0AK1,1996,4,0.0,,,1.0
475,0AK1,1997,9,0.0,,,1.0
476,0AK1,2000,5,0.0,,,1.0
477,0AK1,2001,5,0.0,,,1.0
478,0AK1,2014,2,0.0,,,1.0
479,0AK1,2018,6,0.0,,,1.0
480,0AK1,2019,7,0.0,,,1.0
481,0AK2,2017,12,0.0,,,1.0
482,0AL1,2017,8,0.0,,,1.0
483,0AR3,1999,8,0.0,,,1.0
484,0AZ2,2003,6,0.0,,,1.0
485,0B1,1992,9,0.0,,,1.0
486,0B1,1994,11,0.0,,,1.0
487,0B1,2006,6,0.0,,,1.0
488,0B1,2013,4,0.0,,,1.0
489,0B1,2014,4,0.0,,,1.0
490,0B2,1992,3,0.0,,,1.0
491,0B2,1993,2,0.0,,,1.0
492,0B2,2001,5,0.0,,,1.0
493,0B5,1993,5,0.0,,,1.0
494,0B5,2011,12,0.0,,,1.0
495,0B5,2017,11,0.0,,,1.0
496,0B7,1995,7,0.0,,,1.0
497,0B7,1998,10,0.0,,,2.0
498,0B7,2001,9,0.0,,,1.0
499,0B7,2004,5,0.0,,,1.0
500,0B7,2008,6,0.0,,,1.0
501,0B7,2010,10,0.0,,,1.0
502,0B7,2014,5,1.0,,,0.0
503,0B7,2014,10,0.0,,,2.0
504,0B8,2008,6,0.0,,,1.0
505,0C0,1992,5,0.0,,,1.0
506,0C0,1992,7,0.0,,,1.0
507,0C0,1992,9,0.0,,,1.0
508,0C0,2002,6,0.0,,,1.0
509,0C0,2003,8,0.0,,,1.0
510,0C0,2007,5,0.0,,,1.0
511,0C0,2017,11,0.0,,,1.0
512,0C09,1988,11,0.0,,,1.0
513,0C2,1993,8,0.0,,,1.0
514,0C2,1997,8,0.0,,,1.0
515,0C2,2014,10,0.0,,,1.0
516,0C5,2019,3,0.0,,,1.0
517,0C7,1988,3,0.0,,,1.0
518,0C8,1989,9,0.0,,,2.0
519,0C8,1990,1,0.0,,,
520,0C8,1991,2,0.0,,,1.0
521,0C8,1991,8,0.0,,,1.0
522,0C8,1991,9,0.0,,,1.0
523,0C8,1993,6,0.0,,,1.0
524,0C8,2007,5,0.0,,,1.0
525,0C8,2008,4,0.0,,,1.0
526,0C8,2008,7,0.0,,,1.0
527,0C8,2009,5,0.0,,,1.0
528,0C8,2010,6,0.0,,,1.0
529,0C8,2014,9,0.0,,,1.0
530,0C8,2016,7,0.0,,,1.0
531,0C8,2016,9,0.0,,,1.0
532,0CL1,1995,12,0.0,,,1.0
533,0CL1,1996,5,0.0,,,1.0
534,0CL1,2001,5,0.0,,,1.0
535,0CL1,2010,8,0.0,,,1.0
536,0CL1,2011,7,0.0,,,1.0
537,0CL3,2012,8,0.0,,,1.0
538,0CL3,2012,9,0.0,,,1.0
539,0CO2,2001,12,0.0,,,1.0
540,0CO2,2007,7,0.0,,,1.0
541,0CO5,1999,8,0.0,,,1.0
542,0CO6,2001,8,0.0,,,1.0
543,0CO9,2014,7,0.0,,,1.0
544,0D1,2001,8,0.0,,,1.0
545,0D1,2003,3,0.0,,,1.0
546,0D1,2003,6,0.0,,,1.0
547,0E0,1994,7,0.0,,,1.0
548,0E0,1995,9,0.0,,,1.0
549,0E0,1998,5,0.0,,,1.0
550,0E0,2000,9,0.0,,,1.0
551,0E0,2003,6,0.0,,,1.0
552,0E0,2005,7,0.0,,,1.0
553,0E0,2005,9,0.0,,,1.0
554,0E0,2005,12,0.0,,,1.0
555,0E0,2007,3,0.0,,,1.0
556,0E0,2007,9,0.0,,,1.0
557,0E0,2008,7,0.0,,,1.0
558,0E0,2011,10,0.0,,,1.0
559,0E0,2014,7,0.0,,,1.0
560,0E0,2018,6,0.0,,,1.0
561,0E0,2018,7,0.0,,,1.0
562,0E0,2018,12,0.0,,,1.0
563,0E0,2019,6,0.0,,,2.0
564,0E8,2015,5,0.0,,,1.0
565,0F2,1993,2,0.0,,,1.0
566,0F2,1998,12,0.0,,,1.0
567,0F2,2006,7,0.0,,,1.0
568,0F2,2014,8,0.0,,,1.0
569,0F7,1992,6,0.0,,,1.0
570,0F8,2000,1,0.0,,,
571,0F8,2007,3,0.0,,,1.0
572,0F8,2007,6,0.0,,,1.0
573,0F9,2008,6,0.0,,,1.0
574,0FD1,2008,12,0.0,,,1.0
575,0FD2,2014,12,0.0,,,1.0
576,0FD3,2005,8,0.0,,,1.0
577,0FL6,2006,12,0.0,,,1.0
578,0G0,1991,12,0.0,,,1.0
579,0G0,1992,6,0.0,,,1.0
580,0G0,1998,3,0.0,,,1.0
581,0G0,2008,8,0.0,,,1.0
582,0G5,1999,9,0.0,,,1.0
583,0G7,2012,10,0.0,,,1.0
584,0GA2,2015,4,0.0,,,1.0
585,0GA9,1998,5,0.0,,,1.0
586,0GE3,2002,6,0.0,,,1.0
587,0GE3,2010,10,0.0,,,1.0
588,0GE3,2012,5,0.0,,,1.0
589,0GE5,2004,5,0.0,,,1.0
590,0GE5,2008,7,0.0,,,1.0
591,0GE5,2008,8,0.0,,,1.0
592,0GE5,2008,9,0.0,,,1.0
593,0GE5,2011,9,0.0,,,1.0
594,0GE5,2013,5,0.0,,,1.0
595,0GE5,2013,6,0.0,,,2.0
596,0GE5,2016,7,0.0,,,1.0
597,0H0,1999,8,0.0,,,1.0
598,0H7,2002,4,0.0,,,1.0
599,0I2,1989,4,0.0,,,1.0
600,0I2,2003,6,0.0,,,1.0
601,0I8,1993,10,0.0,,,1.0
602,0I8,2004,8,0.0,,,1.0
603,0I88,1992,10,0.0,,,1.0
604,0ID8,2009,11,0.0,,,1.0
605,0IN1,2007,12,0.0,,,1.0
606,0IN1,2011,7,0.0,,,1.0
607,0IN2,2003,8,0.0,,,1.0
608,0IS3,2003,8,0.0,,,1.0
609,0IS8,2001,1,0.0,,,
610,0J0,2017,3,0.0,,,1.0
611,0J6,1992,9,0.0,,,1.0
612,0J6,1992,10,0.0,,,1.0
613,0J6,1994,8,0.0,,,1.0
614,0J6,2001,7,0.0,,,1.0
615,0J6,2002,4,0.0,,,1.0
616,0J6,2019,12,0.0,,,1.0
617,0J8,2001,2,0.0,,,1.0
618,0J8,2010,4,0.0,,,1.0
619,0K2,2006,6,0.0,,,1.0
620,0K5,1991,1,0.0,,,
621,0K5,1991,8,0.0,,,1.0
622,0K7,1997,10,0.0,,,1.0
623,0KY0,2012,6,0.0,,,1.0
624,0KY8,1997,6,0.0,,,1.0
625,0L5,2002,6,0.0,,,1.0
626,0L7,1990,5,0.0,,,1.0
627,0L7,1994,6,0.0,,,1.0
628,0L7,1995,2,0.0,,,1.0
629,0L7,1996,4,0.0,,,1.0
630,0L7,1997,6,0.0,,,3.0
631,0L7,1998,6,0.0,,,1.0
632,0L7,1999,1,0.0,,,
633,0L7,1999,10,0.0,,,3.0
634,0L7,2003,1,0.0,,,2.0
635,0L7,2003,10,0.0,,,1.0
636,0L7,2004,12,0.0,,,2.0
637,0L7,2005,5,0.0,,,1.0
638,0L7,2005,6,0.0,,,1.0
639,0L7,2006,6,0.0,,,1.0
640,0L7,2007,2,0.0,,,1.0
641,0L7,2007,3,0.0,,,1.0
642,0L7,2007,8,0.0,,,1.0
643,0L7,2009,6,0.0,,,1.0
644,0L7,2012,3,0.0,,,1.0
645,0L7,2017,4,0.0,,,1.0
646,0L7,2018,9,0.0,,,1.0
647,0L9,2014,6,0.0,,,1.0
648,0LA4,1992,7,0.0,,,1.0
649,0M0,1991,9,0.0,,,1.0
650,0M0,2013,8,0.0,,,1.0
651,0M3,1993,11,0.0,,,1.0
652,0M4,1991,8,0.0,,,1.0
653,0M4,2012,6,0.0,,,1.0
654,0M5,2001,11,0.0,,,1.0
655,0M6,2001,9,0.0,,,1.0
656,0M8,1996,6,0.0,,,1.0
657,0MI7,2001,4,0.0,,,1.0
658,0MU0,2000,9,0.0,,,1.0
659,0N0,2014,4,0.0,,,1.0
660,0N4,1997,10,0.0,,,1.0
661,0N4,1998,7,0.0,,,1.0
662,0N4,1999,7,0.0,,,1.0
663,0N4,2005,5,0.0,,,1.0
664,0NJ6,2011,6,0.0,,,1.0
665,0NY0,2004,7,0.0,,,1.0
666,0O1,1991,10,0.0,,,1.0
667,0O1,1992,8,0.0,,,1.0
668,0O2,1998,7,0.0,,,1.0
669,0O3,1988,1,0.0,,,
670,0O3,1998,6,0.0,,,1.0
671,0O3,1998,12,0.0,,,2.0
672,0O3,2002,11,0.0,,,1.0
673,0O4,1993,2,0.0,,,1.0
674,0O5,1988,3,0.0,,,1.0
675,0O5,1995,10,0.0,,,1.0
676,0O9,1988,9,0.0,,,1.0
677,0O9,1994,4,0.0,,,1.0
678,0O9,2006,8,0.0,,,1.0
679,0OH4,1992,10,0.0,,,1.0
680,0OK3,2012,9,0.0,,,1.0
681,0OK7,1989,6,0.0,,,1.0
682,0OK7,1992,7,0.0,,,1.0
683,0OK7,1994,11,0.0,,,1.0
684,0OK8,2013,6,0.0,,,1.0
685,0P2,2018,7,0.0,,,1.0
